ElemName	Emiss	Effic	Temp
CMB		1.000	1.000	2.725	
Atmosphere	0.025	0.975	250.0
PrimMirror	0.015	0.985	260.0
SecMirror	0.015	0.985	260.0
Window		0.010	0.983	260.0
IR1		0.001	0.999	260.0
IR2		0.001	0.999	170.0
LP40		0.006	0.940	60.00
IR3		0.001	0.999	60.00
IR4		0.001	0.999	40.00
LP4K		0.006	0.940	10.00
Lens1		0.030	0.965	4.500
LyotStop	0.360	0.640	1.200
Lens2		0.030	0.965	1.200
LP1a		0.006	0.994	1.200
LP1b		0.006	0.940	1.200
Lens3		0.030	0.965	1.200
LPp1		0.006	0.940	0.100
