ElemName	Emiss	Effic	Temp [K]
CMB		1.000	1.000	2.725
Atmosphere	0.032	0.968	273.0
Mirror1		0.010	0.990	273.0
Mirror2		0.010	0.990	273.0
Mirror3		0.010	0.990	273.0
HDPEWind	0.020	0.960	265.0
IRShaders	0.001	0.999	200.0
LPF1		0.010	0.940	40.00
Lens1		0.050	0.930	4.500
Lens2		0.050	0.930	4.500
LPF2		0.010	0.940	4.500	
LyotStop	0.320	0.680	1.200
Lens3		0.010	0.990	1.200
LPF3		0.010	0.940	1.200	
LPF4		0.010	0.940	1.200	
LPF5		0.010	0.940	0.100	
Detector	0.300	0.700	0.100
