#*****Optical Chain*****
#
Element	  | Temperature      | Absorption                      | Reflection                      | Thickness       | Index           | Loss Tangent    | Conductivity    | Surface Rough   | Spillover                       | Spillover Temp  | Scatter Frac                    | Scatter Temp   
Lens	  | 1.600 +/- 0.030  | NA                              | [0.006,0.006] +/- [0.000,0.000] | 30.00 +/- 0.000 | 3.400 +/- 0.000 | 0.200 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lens	  | 1.200 +/- 0.030  | NA                              | [0.006,0.006] +/- [0.000,0.000] | 30.00 +/- 0.000 | 3.400 +/- 0.000 | 0.200 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass1  | 1.000 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass2  | 1.000 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass1  | 0.100 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
